instance,init_time,solve_time,solutions,variables,propagators,propagations,nodes,failures,restarts,peak_depth,valid,optimal
ins-01,0.000298,0.000107,1,9,8,29,3,1,0,2,1,1
ins-02,0.000344,0.000139,1,11,9,45,6,1,0,5,1,1
ins-03,0.000361,0.000169,1,13,10,58,6,1,0,5,1,1
ins-04,0.000368,0.00026,1,15,11,126,20,8,0,13,1,1
ins-05,0.0004,0.000465,1,17,12,276,33,14,0,13,1,1
ins-06,0.00042,0.000279,1,19,13,129,15,5,0,12,1,1
ins-07,0.000394,0.000225,1,19,13,86,11,2,0,10,1,1
ins-08,0.000378,0.000209,1,21,14,93,13,2,0,12,1,1
ins-09,0.000408,0.00026,1,21,14,100,12,2,0,11,1,1
ins-10,0.000467,0.0023,1,25,16,1166,221,107,0,17,1,1
ins-11,0.000428,0.000492,1,33,20,204,30,8,0,25,1,1
ins-12,0.000457,0.055301,1,29,18,52336,12111,6051,0,26,1,1
ins-13,0.000478,0.00056,1,29,18,231,34,12,0,20,1,1
ins-14,0.000471,0.018908,1,31,19,13990,2914,1451,0,23,1,1
ins-15,0.000497,0.000608,1,33,20,199,30,8,0,19,1,1
ins-16,0.000531,4.64035,1,39,23,3213788,847001,423496,0,42,1,1
ins-17,0.000516,0.114229,1,37,22,79905,17382,8684,0,34,1,1
ins-18,0.000564,7.22126,1,39,23,5217434,1075997,537993,0,37,1,1
ins-19,0.000304,64.6803,1,45,26,35403628,8454179,4227084,0,51,1,1
ins-20,0.000499,2.11388,1,43,25,1255180,256151,128069,0,37,1,1
ins-21,0.000504,0.00829,1,45,26,3439,704,343,0,34,1,1
ins-22,0.000672,300.0,0,49,28,143989306,28759051,14379518,0,48,0,0
ins-23,0.000546,0.001214,1,41,24,363,68,25,0,32,1,1
ins-24,0.000522,3.78184,1,39,23,2694533,739334,369660,0,36,1,1
ins-25,0.000625,2.61768,1,55,31,1127786,277079,138531,0,51,1,1
ins-26,0.000456,13.9047,1,47,27,6972833,1772999,886492,0,44,1,1
ins-27,0.000565,1.40171,1,43,25,841931,198572,99278,0,34,1,1
ins-28,0.000451,5.36565,1,45,26,3132835,732081,366032,0,43,1,1
ins-29,0.000541,0.003894,1,47,27,1057,217,97,0,34,1,1
ins-30,0.000646,300.0,0,55,31,125194891,35108765,17554373,0,55,0,0
ins-31,0.000566,300.0,0,39,23,196007949,62374406,31187198,0,66,0,0
ins-32,0.000691,300.0,0,59,33,109150646,34405692,16979570,25018,66,0,0
