name,time,h,valid,optimal
ins-01,0.00000,8,True,False
ins-02,0.00000,9,True,False
ins-03,0.00000,10,True,False
ins-04,0.00100,11,True,False
ins-05,0.00000,12,True,False
ins-06,0.00100,13,True,False
ins-07,0.00000,14,True,False
ins-08,0.00000,15,True,False
ins-09,0.00100,16,True,False
ins-10,0.03800,17,True,False
ins-11,12.19000,18,True,False
ins-12,0.01700,19,True,False
ins-13,0.00000,20,True,False
ins-14,0.01400,21,True,False
ins-15,0.00200,22,True,False
ins-16,0.59700,23,True,False
ins-17,0.07400,24,True,False
ins-18,0.02800,25,True,False
ins-19,52.68800,26,True,False
ins-20,1.35700,27,True,False
ins-21,2.84600,28,True,False
ins-22,2.77300,29,True,False
ins-23,0.00300,30,True,False
ins-24,0.21500,31,True,False
ins-25,0.56500,32,True,False
ins-26,92.21500,33,True,False
ins-27,3.42000,34,True,False
ins-28,5.01800,35,True,False
ins-29,9.51000,36,True,False
ins-30,299.64500,None,False,False
ins-31,81.04400,38,True,False
ins-32,1.40400,39,True,False
ins-33,47.69500,40,True,False
ins-34,45.47500,40,True,False
ins-35,5.11000,40,True,False
ins-36,0.01500,40,True,False
ins-37,289.55300,60,True,False
ins-38,299.63500,None,False,False
ins-39,12.87100,60,True,False
ins-40,298.81700,None,False,False
