instance,init_time,solve_time,solutions,variables,propagators,propagations,nodes,failures,restarts,peak_depth,valid,optimal
ins-01,0.000457,0.000232,3,9,8,98,17,5,0,6,1,1
ins-02,0.000481,0.000306,4,11,9,172,32,9,0,9,1,1
ins-03,0.000481,0.000506,4,13,10,323,46,14,0,12,1,1
ins-04,0.000485,0.000627,4,15,11,356,58,19,0,13,1,1
ins-05,0.000752,0.001261,4,17,12,543,81,28,0,14,1,1
ins-06,0.000538,0.001063,4,19,13,610,86,31,0,18,1,1
ins-07,0.00053,0.000891,4,19,13,498,82,26,0,23,1,1
ins-08,0.000566,0.000949,5,21,14,500,84,20,0,18,1,1
ins-09,0.000543,0.001111,5,21,14,580,81,21,0,17,1,1
ins-10,0.000579,0.006179,5,25,16,2736,395,180,0,30,1,1
ins-11,0.001067,201.361,5,33,20,68640298,17854133,8927044,0,53,1,1
ins-12,0.000586,0.102332,5,29,18,40090,10236,5092,0,28,1,1
ins-13,0.000601,0.003448,5,29,18,1624,269,108,0,37,1,1
ins-14,0.000629,0.034943,6,31,19,12010,2652,1291,0,51,1,1
ins-15,0.000656,0.003566,6,33,20,1398,211,64,0,36,1,1
ins-16,0.000687,8.22763,6,39,23,2236659,610161,305042,0,68,1,1
ins-17,0.000666,0.999638,6,37,22,360779,86755,43340,0,61,1,1
ins-18,0.000694,0.152046,6,39,23,35649,7049,3480,0,62,1,1
ins-19,0.00071,300.0,5,45,26,63758418,15492526,7746213,0,93,1,0
ins-20,0.000759,15.2589,6,43,25,3445306,737972,368936,0,60,1,1
ins-21,0.000698,300.0,1,45,26,98668370,20354341,10177151,0,100,1,0
ins-22,0.000784,300.0,4,49,28,55736502,9760210,4880067,0,110,1,0
ins-23,0.000691,0.017109,6,41,24,6375,1154,530,0,75,1,1
ins-24,0.000699,1.30584,6,39,23,362502,105992,52959,0,50,1,1
ins-25,0.000773,300.0,0,55,31,74311127,15812862,7906410,0,68,0,0
ins-26,0.000755,300.0,6,47,27,60595673,16258499,8129200,0,88,1,0
ins-27,0.000724,40.4026,7,43,25,9203819,2571493,1285689,0,72,1,1
ins-28,0.000907,116.928,6,45,26,25757038,6180057,3089972,0,61,1,1
ins-29,0.000756,300.0,5,47,27,61756646,17367566,8683734,0,100,1,0
ins-30,0.000811,300.0,6,55,31,47265574,14909569,7454725,0,105,1,0
