instance,init_time,solve_time,solutions,variables,propagators,propagations,nodes,failures,restarts,peak_depth,valid,optimal
ins-01,0.000453,0.00031,6,9,8,221,29,7,0,7,1,1
ins-02,0.00048,0.000564,13,11,9,531,85,23,0,10,1,1
ins-03,0.000476,0.00094,12,13,10,856,114,33,0,14,1,1
ins-04,0.0005,0.001252,13,15,11,1021,136,42,0,14,1,1
ins-05,0.000515,0.002195,18,17,12,1788,280,87,0,19,1,1
ins-06,0.000532,0.003447,20,19,13,2617,359,122,0,19,1,1
ins-07,0.000521,0.004446,23,19,13,3489,484,170,0,23,1,1
ins-08,0.000552,0.003996,32,21,14,3049,448,91,0,23,1,1
ins-09,0.000538,0.005662,34,21,14,4247,542,155,0,25,1,1
ins-10,0.000663,0.052936,35,25,16,29705,5497,2613,0,35,1,1
ins-11,0.000888,300.0,38,33,20,130684313,27529008,13764311,0,60,1,0
ins-12,0.000613,0.297023,54,29,18,146101,29191,14327,0,39,1,1
ins-13,0.000586,0.077717,59,29,18,43108,7847,3647,0,39,1,1
ins-14,0.000762,1.50054,60,31,19,764467,151782,75629,0,58,1,1
ins-15,0.000616,1.15348,69,33,20,630762,120217,59709,0,50,1,1
ins-16,0.00068,300.0,5,39,23,113779504,20175471,10087675,0,53,1,0
ins-17,0.00067,300.0,47,37,22,127875385,26253147,13126301,0,83,1,0
ins-18,0.001025,300.0,13,39,23,124815744,23494882,11747316,0,50,1,0
ins-19,0.000718,300.0,10,45,26,92027318,15952443,7976106,0,60,1,0
