instance,init_time,solve_time,solutions,variables,propagators,propagations,nodes,failures,restarts,peak_depth,valid,optimal
ins-01,0.000315,0.000153,1,9,8,29,3,1,0,2,1,1
ins-02,0.00035,0.000131,1,11,9,45,6,1,0,5,1,1
ins-03,0.000335,0.000155,1,13,10,58,6,1,0,5,1,1
ins-04,0.00036,0.000227,1,15,11,126,20,8,0,13,1,1
ins-05,0.000363,0.000364,1,17,12,276,33,14,0,13,1,1
ins-06,0.000367,0.00024,1,19,13,129,15,5,0,12,1,1
ins-07,0.000363,0.000225,1,19,13,86,11,2,0,10,1,1
ins-08,0.000382,0.000228,1,21,14,93,13,2,0,12,1,1
ins-09,0.000373,0.000223,1,21,14,100,12,2,0,11,1,1
ins-10,0.000398,0.001738,1,25,16,1166,221,107,0,17,1,1
ins-11,0.000453,0.00044,1,33,20,204,30,8,0,25,1,1
ins-12,0.000413,0.077958,1,29,18,52336,12111,6051,0,26,1,1
ins-13,0.000416,0.000463,1,29,18,231,34,12,0,20,1,1
ins-14,0.000427,0.02552,1,31,19,13990,2914,1451,0,23,1,1
ins-15,0.000427,0.000486,1,33,20,199,30,8,0,19,1,1
ins-16,0.000456,7.0399,1,39,23,3213788,847001,423496,0,42,1,1
ins-17,0.000653,0.218471,1,37,22,79905,17382,8684,0,34,1,1
ins-18,0.000453,11.0216,1,39,23,5217434,1075997,537993,0,37,1,1
ins-19,0.00048,30.0001,0,45,26,10070886,2519527,1259757,0,51,0,0
ins-20,0.000473,3.46288,1,43,25,1255180,256151,128069,0,37,1,1
ins-21,0.000479,0.011209,1,45,26,3439,704,343,0,34,1,1
ins-22,0.000519,30.0001,0,49,28,8743175,1883102,941544,0,45,0,0
ins-23,0.00047,0.000947,1,41,24,363,68,25,0,32,1,1
ins-24,0.000469,5.62286,1,39,23,2694533,739334,369660,0,36,1,1
ins-25,0.000521,4.32466,1,55,31,1127786,277079,138531,0,51,1,1
ins-26,0.00048,21.848,1,47,27,6972833,1772999,886492,0,44,1,1
ins-27,0.000468,2.21745,1,43,25,841931,198572,99278,0,34,1,1
ins-28,0.00051,8.49675,1,45,26,3132835,732081,366032,0,43,1,1
ins-29,0.000494,0.003523,1,47,27,1057,217,97,0,34,1,1
ins-30,0.000549,30.0001,0,55,31,8154106,2288383,1144184,0,44,0,0
ins-31,0.00046,30.0001,0,39,23,13602134,4149844,2074917,0,47,0,0
ins-32,0.000595,30.0001,0,59,33,7024300,2493920,1246951,0,66,0,0
ins-33,0.000498,0.001325,1,41,24,466,99,40,0,27,1,1
ins-34,0.000571,30.0001,0,51,32,8946595,2555555,1277769,0,67,0,0
ins-35,0.00057,18.562,1,51,33,6137654,1888057,944027,0,67,1,1
ins-36,0.000622,0.002661,1,51,35,875,156,74,0,65,1,1
ins-37,0.000573,30.0001,0,57,34,6705608,2458269,1229125,0,55,0,0
ins-38,0.000563,30.0001,0,59,34,7668079,2330071,1165029,0,50,0,0
ins-39,0.000545,30.0001,0,57,32,7100270,1700727,850357,0,69,0,0
ins-40,0.001044,30.0002,0,147,93,2133775,688144,344047,0,168,0,0
