instance,init_time,solve_time,solutions,variables,propagators,propagations,nodes,failures,restarts,peak_depth,valid,optimal
ins-01,0.000496,0.000337,6,9,8,240,32,10,0,6,1,1
ins-02,0.000594,0.000564,13,11,9,531,85,23,0,10,1,1
ins-03,0.000487,0.000845,12,13,10,698,103,27,0,12,1,1
ins-04,0.000488,0.000925,12,15,11,744,108,29,0,13,1,1
ins-05,0.000522,0.002004,21,17,12,1683,243,63,0,18,1,1
ins-06,0.000525,0.00238,21,19,13,1757,255,62,0,19,1,1
ins-07,0.000535,0.004391,27,19,13,3453,472,155,0,28,1,1
ins-08,0.000541,0.004152,35,21,14,3268,484,97,0,24,1,1
ins-09,0.000545,0.004955,34,21,14,3614,532,153,0,22,1,1
ins-10,0.000559,0.01921,36,25,16,11572,1913,812,0,36,1,1
ins-11,0.000623,0.554991,41,33,20,187072,57585,28559,0,45,1,1
ins-12,0.000588,0.1059,54,29,18,60321,10615,5002,0,35,1,1
ins-13,0.000609,9.09015,59,29,18,5207733,1036163,517821,0,66,1,1
ins-14,0.000675,3.38448,63,31,19,1760803,352361,175880,0,74,1,1
ins-15,0.000625,4.09903,72,33,20,2098009,370081,184592,0,56,1,1
ins-16,0.00067,1.14069,77,39,23,436034,95050,47003,0,62,1,1
ins-17,0.00066,4.75639,81,37,22,1998615,355280,177142,0,76,1,1
ins-18,0.000679,0.255061,94,39,23,96210,17593,8041,0,49,1,1
ins-19,0.001028,20.9958,103,45,26,4745776,1146876,572557,0,87,1,1
ins-20,0.000727,100.976,107,43,25,23632913,4764723,2381587,0,90,1,1
ins-21,0.000714,300.0,4,45,26,91267313,17799087,8899487,0,55,1,0
ins-22,0.00073,300.0,5,49,28,78895186,16906986,8453438,0,59,1,0
ins-23,0.000689,8.15826,101,41,24,3520035,649801,324046,0,71,1,1
ins-24,0.000686,37.7984,107,39,23,16560383,3367899,1683181,0,53,1,1
ins-25,0.000806,300.0,69,55,31,80298091,14965959,7482124,0,66,1,0
ins-26,0.000766,300.0,12,47,27,83220048,14825868,7412795,0,56,1,0
ins-27,0.000693,300.0,31,43,25,110483345,23948901,11974165,0,52,1,0
ins-28,0.000706,300.0,58,45,26,83840487,14475144,7237151,0,88,1,0
ins-29,0.000715,300.0,11,47,27,84810114,16295330,8147562,0,59,1,0
ins-30,0.000783,300.0,13,55,31,77910927,15981847,7990776,0,77,1,0
