name,time,h,valid,optimal
ins-01,0.00023,8,True,True
ins-02,0.00030,9,True,True
ins-03,0.00051,10,True,True
ins-04,0.00064,11,True,True
ins-05,0.00094,12,True,True
ins-06,0.00107,13,True,True
ins-07,0.00087,14,True,True
ins-08,0.00101,15,True,True
ins-09,0.00136,16,True,True
ins-10,0.00587,17,True,True
ins-11,10.00030,19,True,False
ins-12,0.11957,19,True,True
ins-13,0.00355,20,True,True
ins-14,0.03484,21,True,True
ins-15,0.00359,22,True,True
ins-16,8.40288,23,True,True
ins-17,1.07190,24,True,True
ins-18,0.12955,25,True,True
ins-19,10.00020,28,True,False
ins-20,10.00020,29,True,False
ins-21,10.00020,84,True,False
ins-22,10.00020,35,True,False
ins-23,0.01767,30,True,True
ins-24,1.37084,31,True,True
ins-25,10.00000,None,False,False
ins-26,10.00020,34,True,False
ins-27,10.00030,35,True,False
ins-28,10.00020,37,True,False
ins-29,10.00020,39,True,False
ins-30,10.00020,38,True,False
