name,time,h,valid,optimal
ins-01,0.00028,8,True,True
ins-02,0.00051,9,True,True
ins-03,0.00085,10,True,True
ins-04,0.00112,11,True,True
ins-05,0.00194,12,True,True
ins-06,0.00362,13,True,True
ins-07,0.00430,14,True,True
ins-08,0.00362,15,True,True
ins-09,0.00594,16,True,True
ins-10,0.05136,17,True,True
ins-11,10.00020,56,True,False
ins-12,0.42171,19,True,True
ins-13,0.08380,20,True,True
ins-14,1.48368,21,True,True
ins-15,1.11562,22,True,True
ins-16,10.00020,96,True,False
ins-17,10.00020,100,True,False
ins-18,10.00020,105,True,False
ins-19,10.00020,117,True,False
ins-20,10.00020,124,True,False
ins-21,10.00020,139,True,False
ins-22,10.00020,114,True,False
ins-23,10.00020,97,True,False
ins-24,10.00020,135,True,False
ins-25,10.00020,172,True,False
ins-26,10.00000,None,False,False
ins-27,10.00020,168,True,False
ins-28,10.00020,136,True,False
ins-29,10.00000,None,False,False
ins-30,10.00000,None,False,False
