name,time,h,valid,optimal
ins-01,0.00022,8,True,True
ins-02,0.00018,9,True,True
ins-03,0.00021,10,True,True
ins-04,0.00034,11,True,True
ins-05,0.00055,12,True,True
ins-06,0.00035,13,True,True
ins-07,0.00028,14,True,True
ins-08,0.00031,15,True,True
ins-09,0.00033,16,True,True
ins-10,0.00565,17,True,True
ins-11,10.00000,None,False,False
ins-12,0.11136,19,True,True
ins-13,0.00072,20,True,True
ins-14,0.03076,21,True,True
ins-15,0.00056,22,True,True
ins-16,8.57538,23,True,True
ins-17,0.60179,24,True,True
ins-18,0.12145,25,True,True
ins-19,10.00000,None,False,False
ins-20,10.00000,None,False,False
ins-21,10.00000,None,False,False
ins-22,10.00000,None,False,False
ins-23,0.00127,30,True,True
ins-24,1.31840,31,True,True
ins-25,7.86193,32,True,True
ins-26,10.00000,None,False,False
ins-27,10.00000,None,False,False
ins-28,10.00000,None,False,False
ins-29,10.00000,None,False,False
ins-30,10.00000,None,False,False
