name,time,h,valid,optimal
ins-01,0.00033,8,True,True
ins-02,0.00057,9,True,True
ins-03,0.00135,10,True,True
ins-04,0.00090,11,True,True
ins-05,0.00216,12,True,True
ins-06,0.00223,13,True,True
ins-07,0.00428,14,True,True
ins-08,0.00410,15,True,True
ins-09,0.00514,16,True,True
ins-10,0.01922,17,True,True
ins-11,0.53249,18,True,True
ins-12,0.10946,19,True,True
ins-13,9.54717,20,True,True
ins-14,3.29905,21,True,True
ins-15,3.94464,22,True,True
ins-16,1.43055,23,True,True
ins-17,4.66952,24,True,True
ins-18,0.25599,25,True,True
ins-19,10.00020,27,True,False
ins-20,10.00020,107,True,False
ins-21,10.00020,136,True,False
ins-22,10.00000,None,False,False
ins-23,8.12992,30,True,True
ins-24,10.00020,118,True,False
ins-25,10.00020,119,True,False
ins-26,10.00020,169,True,False
ins-27,10.00020,142,True,False
ins-28,10.00020,136,True,False
ins-29,10.00000,None,False,False
ins-30,10.00020,178,True,False
