name,time,h,valid,optimal
ins-01,0.00025,8,True,True
ins-02,0.00030,9,True,True
ins-03,0.00043,10,True,True
ins-04,0.00045,11,True,True
ins-05,0.00085,12,True,True
ins-06,0.00068,13,True,True
ins-07,0.00081,14,True,True
ins-08,0.00091,15,True,True
ins-09,0.00105,16,True,True
ins-10,0.00302,17,True,True
ins-11,0.41628,18,True,True
ins-12,0.00185,19,True,True
ins-13,0.00306,20,True,True
ins-14,0.09451,21,True,True
ins-15,0.00335,22,True,True
ins-16,0.08447,23,True,True
ins-17,4.85286,24,True,True
ins-18,0.06571,25,True,True
ins-19,10.00020,28,True,False
ins-20,10.00020,29,True,False
ins-21,10.00020,30,True,False
ins-22,10.00020,31,True,False
ins-23,0.00554,30,True,True
ins-24,0.02783,31,True,True
ins-25,10.00020,33,True,False
ins-26,10.00020,34,True,False
ins-27,10.00020,41,True,False
ins-28,10.00020,37,True,False
ins-29,10.00020,71,True,False
ins-30,10.00020,38,True,False
