name,time,h,valid,optimal
ins-01,0.00031,8,True,True
ins-02,0.00051,9,True,True
ins-03,0.00073,10,True,True
ins-04,0.00077,11,True,True
ins-05,0.00189,12,True,True
ins-06,0.00214,13,True,True
ins-07,0.00415,14,True,True
ins-08,0.00398,15,True,True
ins-09,0.00469,16,True,True
ins-10,0.01886,17,True,True
ins-11,0.51214,18,True,True
ins-12,0.10148,19,True,True
ins-13,8.82715,20,True,True
ins-14,3.29772,21,True,True
ins-15,3.92449,22,True,True
ins-16,1.04807,23,True,True
ins-17,4.63115,24,True,True
ins-18,0.25378,25,True,True
ins-19,10.00020,27,True,False
ins-20,10.00020,106,True,False
ins-21,10.00020,136,True,False
ins-22,10.00000,None,False,False
ins-23,8.11567,30,True,True
ins-24,10.00020,118,True,False
ins-25,10.00020,119,True,False
ins-26,10.00020,169,True,False
ins-27,10.00020,142,True,False
ins-28,10.00020,136,True,False
ins-29,10.00000,None,False,False
ins-30,10.00020,178,True,False
