name,time,h,valid,optimal
ins-01,0.00017,8,True,True
ins-02,0.00018,9,True,True
ins-03,0.00021,10,True,True
ins-04,0.00022,11,True,True
ins-05,0.00056,12,True,True
ins-06,0.00028,13,True,True
ins-07,0.00028,14,True,True
ins-08,0.00031,15,True,True
ins-09,0.00033,16,True,True
ins-10,0.00142,17,True,True
ins-11,0.37643,18,True,True
ins-12,0.00057,19,True,True
ins-13,0.00072,20,True,True
ins-14,0.07848,21,True,True
ins-15,0.00057,22,True,True
ins-16,0.02076,23,True,True
ins-17,0.02212,24,True,True
ins-18,0.06244,25,True,True
ins-19,10.00000,None,False,False
ins-20,10.00000,None,False,False
ins-21,10.00000,None,False,False
ins-22,10.00000,None,False,False
ins-23,0.00124,30,True,True
ins-24,0.00155,31,True,True
ins-25,10.00000,None,False,False
ins-26,10.00000,None,False,False
ins-27,0.04407,34,True,True
ins-28,10.00000,None,False,False
ins-29,10.00000,None,False,False
ins-30,10.00000,None,False,False
