name,time,h,valid,optimal
ins-01,0.00028,8,True,True
ins-02,0.00043,9,True,True
ins-03,0.00079,10,True,True
ins-04,0.00116,11,True,True
ins-05,0.00284,12,True,True
ins-06,0.00365,13,True,True
ins-07,0.02672,14,True,True
ins-08,0.00360,15,True,True
ins-09,0.01256,16,True,True
ins-10,1.04730,17,True,True
ins-11,10.00000,None,False,False
ins-12,10.00020,69,True,False
ins-13,10.00000,None,False,False
ins-14,6.46576,21,True,True
ins-15,3.31147,22,True,True
ins-16,10.00000,None,False,False
ins-17,10.00020,105,True,False
ins-18,10.00020,115,True,False
ins-19,10.00000,None,False,False
ins-20,10.00020,135,True,False
ins-21,10.00000,None,False,False
ins-22,10.00000,None,False,False
ins-23,10.00000,None,False,False
ins-24,10.00000,None,False,False
ins-25,10.00000,None,False,False
ins-26,10.00000,None,False,False
ins-27,10.00000,None,False,False
ins-28,10.00000,None,False,False
ins-29,10.00000,None,False,False
ins-30,10.00000,None,False,False
