name,time,h,valid,optimal
ins-01,0.00085,8,True,True
ins-02,0.00098,9,True,True
ins-03,0.00160,10,True,True
ins-04,0.00358,11,True,True
ins-05,0.00339,12,True,True
ins-06,0.01201,13,True,True
ins-07,0.00813,14,True,True
ins-08,0.01118,15,True,True
ins-09,0.04490,16,True,True
ins-10,0.56262,17,True,True
ins-11,10.00030,50,True,False
ins-12,10.00030,37,True,False
ins-13,10.00030,42,True,False
ins-14,10.00040,46,True,False
ins-15,10.00030,46,True,False
ins-16,10.00030,56,True,False
ins-17,10.00040,55,True,False
ins-18,10.00040,54,True,False
ins-19,10.00050,66,True,False
ins-20,10.00040,64,True,False
ins-21,10.00040,71,True,False
ins-22,10.00050,79,True,False
ins-23,10.00060,66,True,False
ins-24,10.00040,66,True,False
ins-25,10.00070,82,True,False
ins-26,10.00060,73,True,False
ins-27,10.00050,70,True,False
ins-28,10.00050,80,True,False
ins-29,10.00050,76,True,False
ins-30,10.00070,97,True,False
