name,time,h,valid,optimal
ins-01,0.00048,8,True,True
ins-02,0.00092,9,True,True
ins-03,0.00125,10,True,True
ins-04,0.00190,11,True,True
ins-05,0.00203,12,True,True
ins-06,0.00812,13,True,True
ins-07,0.00404,14,True,True
ins-08,0.01786,15,True,True
ins-09,0.02435,16,True,True
ins-10,0.58557,17,True,True
ins-11,10.00030,19,True,False
ins-12,1.45517,19,True,True
ins-13,1.10433,20,True,True
ins-14,1.08875,21,True,True
ins-15,0.05152,22,True,True
ins-16,10.00040,62,True,False
ins-17,10.00040,25,True,False
ins-18,10.00040,74,True,False
ins-19,10.00040,78,True,False
ins-20,10.00040,53,True,False
ins-21,10.00060,55,True,False
ins-22,10.00060,87,True,False
ins-23,10.00050,55,True,False
ins-24,7.42594,31,True,True
ins-25,10.00070,71,True,False
ins-26,10.00050,107,True,False
ins-27,10.00040,102,True,False
ins-28,10.00050,96,True,False
ins-29,10.00050,71,True,False
ins-30,10.00060,111,True,False
