name,time,h,valid,optimal
ins-01,0.00027,13,True,False
ins-02,0.00035,18,True,False
ins-03,0.00042,21,True,False
ins-04,0.00076,20,True,False
ins-05,0.00067,27,True,False
ins-06,0.00070,27,True,False
ins-07,0.00077,33,True,False
ins-08,0.00094,42,True,False
ins-09,0.00099,39,True,False
ins-10,0.00145,44,True,False
ins-11,0.00232,49,True,False
ins-12,0.00181,66,True,False
ins-13,0.00196,60,True,False
ins-14,0.00214,68,True,False
ins-15,10.00000,None,False,False
ins-16,0.00348,85,True,False
ins-17,0.00316,92,True,False
ins-18,0.00381,104,True,False
ins-19,0.00513,109,True,False
ins-20,0.00512,117,True,False
ins-21,0.00667,116,True,False
ins-22,0.00736,120,True,False
ins-23,10.00000,None,False,False
ins-24,0.00734,125,True,False
ins-25,0.00904,166,True,False
ins-26,0.02378,147,True,False
ins-27,10.00000,None,False,False
ins-28,0.15802,151,True,False
ins-29,0.01945,160,True,False
ins-30,10.00000,None,False,False
