name,time,h,valid,optimal
ins-01,0.00038,13,True,False
ins-02,0.00034,18,True,False
ins-03,0.00042,21,True,False
ins-04,0.00076,20,True,False
ins-05,0.00067,27,True,False
ins-06,0.00072,27,True,False
ins-07,0.00078,33,True,False
ins-08,0.00093,42,True,False
ins-09,0.00096,39,True,False
ins-10,0.00142,44,True,False
ins-11,0.00230,49,True,False
ins-12,0.00188,66,True,False
ins-13,0.00188,60,True,False
ins-14,0.00207,68,True,False
ins-15,10.00000,None,False,False
ins-16,0.00368,85,True,False
ins-17,0.00335,92,True,False
ins-18,0.00389,104,True,False
ins-19,0.00564,109,True,False
ins-20,0.00479,117,True,False
ins-21,0.00560,116,True,False
ins-22,0.00776,120,True,False
ins-23,10.00000,None,False,False
ins-24,0.00442,125,True,False
ins-25,0.00945,166,True,False
ins-26,0.02452,147,True,False
ins-27,10.00000,None,False,False
ins-28,0.14921,151,True,False
ins-29,0.02121,160,True,False
ins-30,10.00000,None,False,False
