name,time,h,valid,optimal
ins-01,0.00074,8,True,True
ins-02,0.00096,9,True,True
ins-03,0.00165,10,True,True
ins-04,0.00475,11,True,True
ins-05,0.00367,12,True,True
ins-06,0.95982,13,True,True
ins-07,0.00762,14,True,True
ins-08,0.01261,15,True,True
ins-09,0.01205,16,True,True
ins-10,10.00030,26,True,False
ins-11,10.00040,47,True,False
ins-12,10.00030,39,True,False
ins-13,10.00030,42,True,False
ins-14,10.00030,39,True,False
ins-15,10.00030,47,True,False
ins-16,10.00040,56,True,False
ins-17,10.00040,58,True,False
ins-18,10.00040,51,True,False
ins-19,10.00040,69,True,False
ins-20,10.00040,67,True,False
ins-21,10.00050,74,True,False
ins-22,10.00060,82,True,False
ins-23,10.00130,69,True,False
ins-24,10.00040,66,True,False
ins-25,10.00060,85,True,False
ins-26,10.00080,76,True,False
ins-27,10.00050,68,True,False
ins-28,10.00070,83,True,False
ins-29,10.00050,79,True,False
ins-30,10.00060,97,True,False
