name,time,h,valid,optimal
ins-01,0.00049,8,True,True
ins-02,0.00088,9,True,True
ins-03,0.00114,10,True,True
ins-04,0.00239,11,True,True
ins-05,0.00239,12,True,True
ins-06,0.00766,13,True,True
ins-07,0.00357,14,True,True
ins-08,0.01313,15,True,True
ins-09,0.00987,16,True,True
ins-10,0.00502,17,True,True
ins-11,1.77170,18,True,True
ins-12,4.80623,19,True,True
ins-13,0.23751,20,True,True
ins-14,3.95125,21,True,True
ins-15,10.00030,59,True,False
ins-16,10.00030,62,True,False
ins-17,10.00040,66,True,False
ins-18,10.00040,74,True,False
ins-19,10.00040,78,True,False
ins-20,10.00050,29,True,False
ins-21,10.00040,84,True,False
ins-22,10.00050,87,True,False
ins-23,10.00040,32,True,False
ins-24,10.00040,33,True,False
ins-25,10.00060,112,True,False
ins-26,10.00080,69,True,False
ins-27,10.00040,102,True,False
ins-28,10.00050,96,True,False
ins-29,10.00050,37,True,False
ins-30,10.00060,111,True,False
