name,time,h,valid,optimal
ins-01,0.00025,11,True,False
ins-02,0.00034,18,True,False
ins-03,0.00041,19,True,False
ins-04,0.00078,20,True,False
ins-05,0.00067,27,True,False
ins-06,0.00074,27,True,False
ins-07,0.00076,33,True,False
ins-08,0.00090,42,True,False
ins-09,0.00096,38,True,False
ins-10,0.00158,44,True,False
ins-11,0.00240,49,True,False
ins-12,0.00183,64,True,False
ins-13,10.00000,None,False,False
ins-14,0.00214,69,True,False
ins-15,10.00000,None,False,False
ins-16,0.00347,84,True,False
ins-17,0.00338,94,True,False
ins-18,0.00386,103,True,False
ins-19,0.00531,108,True,False
ins-20,0.00477,117,True,False
ins-21,0.00557,116,True,False
ins-22,0.00654,120,True,False
ins-23,10.00000,None,False,False
ins-24,0.07771,123,True,False
ins-25,0.00942,166,True,False
ins-26,0.00982,148,True,False
ins-27,0.00575,147,True,False
ins-28,0.01959,151,True,False
ins-29,0.00784,174,True,False
ins-30,10.00000,None,False,False
