name,time,h,valid,optimal
ins-01,0.00026,11,True,False
ins-02,0.00036,18,True,False
ins-03,0.00041,19,True,False
ins-04,0.00081,20,True,False
ins-05,0.00065,27,True,False
ins-06,0.00075,27,True,False
ins-07,0.00076,33,True,False
ins-08,0.00091,42,True,False
ins-09,0.00095,38,True,False
ins-10,0.00164,44,True,False
ins-11,0.00241,49,True,False
ins-12,0.00189,64,True,False
ins-13,10.00000,None,False,False
ins-14,0.00213,69,True,False
ins-15,10.00000,None,False,False
ins-16,0.00367,84,True,False
ins-17,0.00319,94,True,False
ins-18,0.00382,103,True,False
ins-19,0.00503,108,True,False
ins-20,0.00486,117,True,False
ins-21,0.00557,116,True,False
ins-22,0.00698,120,True,False
ins-23,10.00000,None,False,False
ins-24,0.07282,123,True,False
ins-25,0.00932,166,True,False
ins-26,0.00988,148,True,False
ins-27,0.00575,147,True,False
ins-28,0.01962,151,True,False
ins-29,0.00898,174,True,False
ins-30,10.00000,None,False,False
