name,time,h,valid,optimal
ins-01,0.00063,8,True,True
ins-02,0.00166,9,True,True
ins-03,0.00167,10,True,True
ins-04,0.03597,11,True,True
ins-05,0.06741,12,True,True
ins-06,0.00373,13,True,True
ins-07,0.96552,14,True,True
ins-08,0.33877,15,True,True
ins-09,7.05798,16,True,True
ins-10,10.00020,18,True,False
ins-11,10.00000,None,False,False
ins-12,10.00030,21,True,False
ins-13,10.00030,22,True,False
ins-14,10.00030,22,True,False
ins-15,10.00030,59,True,False
ins-16,10.00040,62,True,False
ins-17,10.00040,66,True,False
ins-18,10.00040,74,True,False
ins-19,10.00040,78,True,False
ins-20,10.00040,81,True,False
ins-21,10.00050,55,True,False
ins-22,10.00050,87,True,False
ins-23,10.00050,82,True,False
ins-24,10.00040,85,True,False
ins-25,10.00090,112,True,False
ins-26,10.00050,69,True,False
ins-27,10.00050,102,True,False
ins-28,10.00050,96,True,False
ins-29,10.00050,71,True,False
ins-30,10.00060,111,True,False
