name,time,h,valid,optimal
ins-01,0.00000,8,True,True
ins-02,0.00000,9,True,True
ins-03,0.00000,10,True,True
ins-04,0.00000,11,True,True
ins-05,0.00000,12,True,True
ins-06,0.00000,13,True,True
ins-07,0.00000,14,True,True
ins-08,0.00000,15,True,True
ins-09,0.00000,16,True,True
ins-10,0.00100,17,True,True
ins-11,0.07500,18,True,True
ins-12,0.01900,19,True,True
ins-13,0.00000,20,True,True
ins-14,0.00500,21,True,True
ins-15,0.00100,22,True,True
ins-16,0.95700,23,True,True
ins-17,0.11700,24,True,True
ins-18,0.04500,25,True,True
ins-19,1.63400,26,True,True
ins-20,0.30000,27,True,True
ins-21,0.51300,28,True,True
ins-22,3.20500,29,True,True
ins-23,0.00100,30,True,True
ins-24,0.22500,31,True,True
ins-25,1.56200,32,True,True
ins-26,1.24700,33,True,True
ins-27,0.17000,34,True,True
ins-28,0.36700,35,True,True
ins-29,0.73400,36,True,True
ins-30,6.53000,37,True,True
ins-31,0.23900,38,True,True
ins-32,4.00800,39,True,True
ins-33,0.19300,40,True,True
ins-34,1.00100,40,True,True
ins-35,0.55300,40,True,True
ins-36,0.00400,40,True,True
ins-37,13.04500,60,True,True
ins-38,21.84800,60,True,True
ins-39,53.32100,60,True,True
ins-40,299.68600,91,True,False
