name,time,h,valid,optimal
ins-01,0.00000,8,True,True
ins-02,0.00000,9,True,True
ins-03,0.00000,10,True,True
ins-04,0.00000,11,True,True
ins-05,0.00100,12,True,True
ins-06,0.01500,13,True,True
ins-07,0.00100,14,True,True
ins-08,0.00400,15,True,True
ins-09,0.04000,16,True,True
ins-10,0.09000,17,True,True
ins-11,0.35300,18,True,True
ins-12,0.22000,19,True,True
ins-13,0.05700,20,True,True
ins-14,0.18500,21,True,True
ins-15,0.29600,22,True,True
ins-16,6.22400,23,True,True
ins-17,4.88600,24,True,True
ins-18,0.28500,25,True,True
ins-19,0.94800,26,True,True
ins-20,4.09300,27,True,True
ins-21,6.66000,28,True,True
ins-22,56.47800,29,True,True
ins-23,12.64100,30,True,True
ins-24,0.48600,31,True,True
ins-25,15.47000,32,True,True
ins-26,28.10500,33,True,True
ins-27,0.47400,34,True,True
ins-28,12.56400,35,True,True
ins-29,69.53500,36,True,True
ins-30,8.72400,37,True,True
ins-31,0.45700,38,True,True
ins-32,299.76300,40,True,False
ins-33,3.96100,40,True,True
ins-34,0.55000,40,True,True
ins-35,2.68600,40,True,True
ins-36,0.99000,40,True,True
ins-37,299.78100,61,True,False
ins-38,85.54800,60,True,True
ins-39,61.91800,60,True,True
ins-40,298.89600,92,True,False
