,name,time,h,valid,optimal,rotation,sorting,search_goal,search_type
0,ins-01,0.00028,8,True,True,basic,area,min,board
1,ins-02,0.00051,9,True,True,basic,area,min,board
2,ins-03,0.00085,10,True,True,basic,area,min,board
3,ins-04,0.00112,11,True,True,basic,area,min,board
4,ins-05,0.00194,12,True,True,basic,area,min,board
5,ins-06,0.00362,13,True,True,basic,area,min,board
6,ins-07,0.0043,14,True,True,basic,area,min,board
7,ins-08,0.00362,15,True,True,basic,area,min,board
8,ins-09,0.00594,16,True,True,basic,area,min,board
9,ins-10,0.05136,17,True,True,basic,area,min,board
10,ins-11,10.0002,56,True,False,basic,area,min,board
11,ins-12,0.42171,19,True,True,basic,area,min,board
12,ins-13,0.0838,20,True,True,basic,area,min,board
13,ins-14,1.48368,21,True,True,basic,area,min,board
14,ins-15,1.11562,22,True,True,basic,area,min,board
15,ins-16,10.0002,96,True,False,basic,area,min,board
16,ins-17,10.0002,100,True,False,basic,area,min,board
17,ins-18,10.0002,105,True,False,basic,area,min,board
18,ins-19,10.0002,117,True,False,basic,area,min,board
19,ins-20,10.0002,124,True,False,basic,area,min,board
20,ins-21,10.0002,139,True,False,basic,area,min,board
21,ins-22,10.0002,114,True,False,basic,area,min,board
22,ins-23,10.0002,97,True,False,basic,area,min,board
23,ins-24,10.0002,135,True,False,basic,area,min,board
24,ins-25,10.0002,172,True,False,basic,area,min,board
25,ins-26,10.0,None,False,False,basic,area,min,board
26,ins-27,10.0002,168,True,False,basic,area,min,board
27,ins-28,10.0002,136,True,False,basic,area,min,board
28,ins-29,10.0,None,False,False,basic,area,min,board
29,ins-30,10.0,None,False,False,basic,area,min,board
0,ins-01,0.00022,8,True,True,basic,area,min,h
1,ins-02,0.00018,9,True,True,basic,area,min,h
2,ins-03,0.00021,10,True,True,basic,area,min,h
3,ins-04,0.00034,11,True,True,basic,area,min,h
4,ins-05,0.00055,12,True,True,basic,area,min,h
5,ins-06,0.00035,13,True,True,basic,area,min,h
6,ins-07,0.00028,14,True,True,basic,area,min,h
7,ins-08,0.00031,15,True,True,basic,area,min,h
8,ins-09,0.00033,16,True,True,basic,area,min,h
9,ins-10,0.00565,17,True,True,basic,area,min,h
10,ins-11,10.0,None,False,False,basic,area,min,h
11,ins-12,0.11136,19,True,True,basic,area,min,h
12,ins-13,0.00072,20,True,True,basic,area,min,h
13,ins-14,0.03076,21,True,True,basic,area,min,h
14,ins-15,0.00056,22,True,True,basic,area,min,h
15,ins-16,8.57538,23,True,True,basic,area,min,h
16,ins-17,0.60179,24,True,True,basic,area,min,h
17,ins-18,0.12145,25,True,True,basic,area,min,h
18,ins-19,10.0,None,False,False,basic,area,min,h
19,ins-20,10.0,None,False,False,basic,area,min,h
20,ins-21,10.0,None,False,False,basic,area,min,h
21,ins-22,10.0,None,False,False,basic,area,min,h
22,ins-23,0.00127,30,True,True,basic,area,min,h
23,ins-24,1.3184,31,True,True,basic,area,min,h
