,,,,
name,time,h,max_h,status
ins-01,0.02767,8,16,0
ins-02,0.01196,9,23,0
ins-03,0.01889,10,25,0
ins-04,0.01751,11,26,0
ins-05,0.05895,12,35,0
ins-06,0.04485,13,36,0
ins-07,0.02879,14,42,0
ins-08,0.15674,15,51,0
ins-09,0.03643,16,52,0
ins-10,0.16746,17,55,0
ins-11,70.11056,18,63,0
ins-12,0.16737,19,76,0
ins-13,0.58594,20,80,0
ins-14,0.22293,21,84,0
ins-15,4.22194,22,97,0
ins-16,20.41389,23,102,0
ins-17,13.80992,24,108,0
ins-18,4.37256,25,124,0
ins-19,207.6478,26,130,0
ins-20,80.2606,27,135,0
ins-21,300.01999,29,140,1
ins-22,300.09055,30,145,1
ins-23,11.8249,30,135,0
ins-24,1.93177,31,140,0
ins-25,300.02633,33,192,1
ins-26,16.89525,33,182,0
ins-27,5.37518,34,170,0
ins-28,6.82104,35,158,0
ins-29,18.03386,36,180,0
ins-30,300.0266,39,185,2
ins-31,5.15963,38,133,0
ins-32,300.02939,41,176,2
ins-33,1.26341,40,160,0
ins-34,300.11688,41,139,1
ins-35,33.77486,40,130,0
ins-36,300.02291,41,135,1
ins-37,300.07747,61,215,1
ins-38,300.02857,61,205,1
ins-39,300.03286,61,209,1
ins-40,300.16377,108,355,18
