name,time,h,max_h,status
ins-01,0.00547,8.0,16,1
ins-02,0.00434,9.0,23,1
ins-03,0.00604,10.0,25,1
ins-04,0.01065,11.0,26,1
ins-05,0.02005,12.0,35,1
ins-06,0.01151,13.0,36,1
ins-07,0.06425,14.0,42,1
ins-08,0.04763,15.0,51,1
ins-09,0.02507,16.0,52,1
ins-10,0.04841,17.0,55,1
ins-11,1.34055,18.0,63,1
ins-12,0.81642,19.0,76,1
ins-13,0.28946,20.0,80,1
ins-14,1.37049,21.0,84,1
ins-15,0.73764,22.0,97,1
ins-16,4.74975,23.0,102,1
ins-17,18.34495,24.0,108,1
ins-18,1.37787,25.0,124,1
ins-19,28.81579,26.0,130,1
ins-20,17.50075,27.0,135,1
ins-21,48.24154,28.0,140,1
ins-22,32.97321,29.0,145,1
ins-23,3.69555,30.0,135,1
ins-24,2.61435,31.0,140,1
ins-25,300.07834,33.0,192,0
