name,time
ins-01,0.03072
ins-02,0.01326
ins-03,0.01180
ins-04,0.01223
ins-05,0.02198
ins-06,0.01735
ins-07,0.02806
ins-08,0.02540
ins-09,0.02724
ins-10,0.05611
ins-11,1.55365
ins-12,0.19010
ins-13,0.16133
ins-14,0.10557
ins-15,0.09158
ins-16,14.60040
ins-17,0.29685
ins-18,0.47896
ins-19,1.08794
ins-20,0.53064
ins-21,3.61937
ins-22,18.85711
ins-23,3.76181
ins-24,1.15006
ins-25,3.39103
ins-26,25.30037
ins-27,4.94843
ins-28,1.25258
ins-29,11.97527
ins-30,300.06759
ins-31,2.29070
ins-32,300.05982
ins-33,3.55779
ins-34,47.57234
ins-35,17.69241
ins-36,3.78722
ins-37,300.05665
ins-38,300.07676
ins-39,196.41532
ins-40,146.40661
