name,time
ins-01,0.02743
ins-02,0.01411
ins-03,0.01351
ins-04,0.01620
ins-05,0.06528
ins-06,0.04824
ins-07,0.08508
ins-08,0.10978
ins-09,0.17121
ins-10,0.55984
ins-11,13.55553
ins-12,11.83042
ins-13,2.55147
ins-14,4.29923
ins-15,5.38161
ins-16,194.08484
ins-17,52.20132
ins-18,154.09229
ins-19,300.07585
ins-20,229.92705
ins-21,300.02700
ins-22,300.05202
ins-23,166.77124
ins-24,21.25979
ins-25,300.03649
ins-26,211.00699
ins-27,225.87103
ins-28,300.02718
ins-29,157.02511
ins-30,300.03638
ins-31,32.19336
ins-32,300.04098
ins-33,19.44357
ins-34,216.47268
ins-35,63.49064
ins-36,55.66537
ins-37,300.03788
ins-38,300.04002
ins-39,300.03784
ins-40,61.38684
